# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 10.0 Build 262 08/18/2010 Service Pack 1 SJ Full Version
# File: D:/test_1/DE2_70_ADA/DE2_70_ADA.csv
# Generated on: Tue Sep 07 22:51:53 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,I/O Standard,Reserved
oOTG_DACK1_N,Unknown,PIN_E12,3,,
iOTG_DREQ0,Unknown,PIN_G12,3,,
iOTG_DREQ1,Unknown,PIN_F12,3,,
OTG_FSPEED,Unknown,PIN_F7,3,,
iOTG_INT0,Unknown,PIN_F13,3,,
iOTG_INT1,Unknown,PIN_J13,3,,
OTG_LSPEED,Unknown,PIN_F8,3,,
oOTG_OE_N,Unknown,PIN_D10,3,,
oOTG_RESET_N,Unknown,PIN_H14,3,,
oOTG_WE_N,Unknown,PIN_E11,3,,
PS2_KBCLK,Unknown,PIN_F24,4,,
PS2_KBDAT,Unknown,PIN_E24,4,,
PS2_MSCLK,Unknown,PIN_D26,4,,
PS2_MSDAT,Unknown,PIN_D25,4,,
oSD_CLK,Unknown,PIN_T26,6,,
SD_CMD,Unknown,PIN_W28,6,,
SD_DAT,Unknown,PIN_W29,6,,
SD_DAT3,Unknown,PIN_Y30,6,,
oSRAM_A[0],Unknown,PIN_AG8,8,,
oSRAM_A[1],Unknown,PIN_AF8,8,,
oSRAM_A[10],Unknown,PIN_AF14,8,,
oSRAM_A[11],Unknown,PIN_AG14,8,,
oSRAM_A[12],Unknown,PIN_AE15,8,,
oSRAM_A[13],Unknown,PIN_AF15,8,,
oSRAM_A[14],Unknown,PIN_AC16,7,,
oSRAM_A[15],Unknown,PIN_AF20,7,,
oSRAM_A[16],Unknown,PIN_AG20,7,,
oSRAM_A[17],Unknown,PIN_AE11,8,,
oSRAM_A[18],Unknown,PIN_AF11,8,,
oSRAM_A[2],Unknown,PIN_AH7,8,,
oSRAM_A[3],Unknown,PIN_AG7,8,,
oSRAM_A[4],Unknown,PIN_AG6,8,,
oSRAM_A[5],Unknown,PIN_AG5,8,,
oSRAM_A[6],Unknown,PIN_AE12,8,,
oSRAM_A[7],Unknown,PIN_AG12,8,,
oSRAM_A[8],Unknown,PIN_AD13,8,,
oSRAM_A[9],Unknown,PIN_AE13,8,,
oSRAM_ADSC_N,Unknown,PIN_AG17,7,,
oSRAM_ADSP_N,Unknown,PIN_AC18,7,,
oSRAM_ADV_N,Unknown,PIN_AD16,7,,
oSRAM_BE_N[0],Unknown,PIN_AC21,7,,
oSRAM_BE_N[1],Unknown,PIN_AC20,7,,
oSRAM_BE_N[2],Unknown,PIN_AD20,7,,
oSRAM_BE_N[3],Unknown,PIN_AH20,7,,
oSRAM_CE1_N,Unknown,PIN_AH19,7,,
oSRAM_CE2,Unknown,PIN_AG19,7,,
oSRAM_CE3_N,Unknown,PIN_AD22,7,,
oSRAM_CLK,Unknown,PIN_AD7,1,,
SRAM_DPA[0],Unknown,PIN_AK9,8,,
SRAM_DPA[1],Unknown,PIN_AJ23,7,,
SRAM_DPA[2],Unknown,PIN_AK20,7,,
SRAM_DPA[3],Unknown,PIN_AJ9,8,,
SRAM_DQ[0],Unknown,PIN_AH10,8,,
SRAM_DQ[1],Unknown,PIN_AJ10,8,,
SRAM_DQ[10],Unknown,PIN_AH17,7,,
SRAM_DQ[11],Unknown,PIN_AJ18,7,,
SRAM_DQ[12],Unknown,PIN_AH18,7,,
SRAM_DQ[13],Unknown,PIN_AK19,7,,
SRAM_DQ[14],Unknown,PIN_AJ19,7,,
SRAM_DQ[15],Unknown,PIN_AK23,7,,
SRAM_DQ[16],Unknown,PIN_AJ20,7,,
SRAM_DQ[17],Unknown,PIN_AK21,7,,
SRAM_DQ[18],Unknown,PIN_AJ21,7,,
SRAM_DQ[19],Unknown,PIN_AK22,7,,
SRAM_DQ[2],Unknown,PIN_AK10,8,,
SRAM_DQ[20],Unknown,PIN_AJ22,7,,
SRAM_DQ[21],Unknown,PIN_AH15,8,,
SRAM_DQ[22],Unknown,PIN_AJ15,8,,
SRAM_DQ[23],Unknown,PIN_AJ16,7,,
SRAM_DQ[24],Unknown,PIN_AK14,8,,
SRAM_DQ[25],Unknown,PIN_AJ14,8,,
SRAM_DQ[26],Unknown,PIN_AJ13,8,,
SRAM_DQ[27],Unknown,PIN_AH13,8,,
